zoneID,repVoteshare,totalVotes
13067,61.85,235027.0
13069,61.57,9430.0
13071,66.65,9972.0
13073,74.83,36008.0
13075,58.17,3944.0
13077,70.19,31226.0
13079,56.77,3567.0
13081,59.16,5609.0
13083,67.18,5049.0
13085,74.28,5898.0
13087,55.2,7648.0
13089,27.57,219980.0
13091,59.88,5877.0
13093,45.51,3520.0
13095,42.38,29064.0
13097,62.86,30964.0
13099,54.44,3585.0
13101,69.3,898.0
13103,69.39,10650.0
13105,56.35,5853.0
13107,54.11,6263.0
13109,60.2,3080.0
13111,66.63,8390.0
13113,71.12,42449.0
13115,61.16,26825.0
13117,80.58,35755.0
13119,64.2,5762.0
13121,40.82,263212.0
13123,68.9,7370.0
13125,75.4,1020.0
13127,64.84,22384.0
13129,66.33,12205.0
13131,58.87,6703.0
13133,58.24,5197.0
13135,66.46,191111.0
13137,73.35,9691.0
13139,72.35,38150.0
13141,21.52,3086.0
13143,64.24,8167.0
13145,65.6,8562.0
13147,57.06,7536.0
13149,62.3,3198.0
13151,68.32,38867.0
13153,63.53,36988.0
13155,60.88,2852.0
13157,69.73,11635.0
13159,59.6,3943.0
13161,66.98,4221.0
13163,46.26,5566.0
13165,51.31,2593.0
13167,62.79,2883.0
13169,60.99,8068.0
13171,57.03,5230.0
13173,55.74,1904.0
13175,58.69,14036.0
13177,75.2,7884.0
13179,45.45,9972.0
13181,58.63,3103.0
13183,57.52,2314.0
13185,57.67,25432.0
13187,67.61,6750.0
13189,60.34,6550.0
13191,46.32,3837.0
13193,36.22,4355.0
13195,70.76,7993.0
13197,54.73,2184.0
13199,47.89,6709.0
13201,63.27,2150.0
13205,48.43,5799.0
13207,61.64,7541.0
13209,59.12,2509.0
13211,61.16,5902.0
13213,67.36,8372.0
13215,45.44,52163.0
13217,62.41,18375.0
13219,70.5,11168.0
13221,64.05,4385.0
13223,71.46,24260.0
13225,49.89,7137.0
13227,68.8,8201.0
13229,72.03,4681.0
13231,70.38,4885.0
13233,58.69,10116.0
13235,58.03,3346.0
13237,57.93,6299.0
13239,39.1,904.0
13241,66.02,5341.0
