PRESIDENT 1996
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Pennsylvania,19961105,N/A,CHESTER,County,"158,366","77,029","Dole, Robert",Challenger,"64,783","Clinton, William Jefferson",Incumbent,Reform,"14,067","Perot, Ross",Challenger,"2,487","12,246",R,48.64,40.91,8.88,1.57,54.32,45.68,,,
President,Pennsylvania,19961105,N/A,CLARION,County,"15,071","6,916","Dole, Robert",Challenger,"5,954","Clinton, William Jefferson",Incumbent,Reform,"2,064","Perot, Ross",Challenger,137,962,R,45.89,39.51,13.70,.91,53.74,46.26,,,
President,Pennsylvania,19961105,N/A,CLEARFIELD,County,"28,955","12,987","Dole, Robert",Challenger,"11,991","Clinton, William Jefferson",Incumbent,Reform,"3,758","Perot, Ross",Challenger,219,996,R,44.85,41.41,12.98,.76,51.99,48.01,,,
President,Pennsylvania,19961105,N/A,CLINTON,County,"11,483","4,293","Dole, Robert",Challenger,"5,658","Clinton, William Jefferson",Incumbent,Reform,"1,424","Perot, Ross",Challenger,108,"1,365",D,37.39,49.27,12.40,.94,43.14,56.86,,,
President,Pennsylvania,19961105,N/A,COLUMBIA,County,"20,372","8,234","Dole, Robert",Challenger,"8,379","Clinton, William Jefferson",Incumbent,Reform,"3,654","Perot, Ross",Challenger,105,145,D,40.42,41.13,17.94,.52,49.56,50.44,,,
President,Pennsylvania,19961105,N/A,CRAWFORD,County,"31,446","14,659","Dole, Robert",Challenger,"12,943","Clinton, William Jefferson",Incumbent,Reform,"3,519","Perot, Ross",Challenger,325,"1,716",R,46.62,41.16,11.19,1.03,53.11,46.89,,,
President,Pennsylvania,19961105,N/A,CUMBERLAND,County,"78,985","43,943","Dole, Robert",Challenger,"28,749","Clinton, William Jefferson",Incumbent,Reform,"5,669","Perot, Ross",Challenger,624,"15,194",R,55.63,36.40,7.18,.79,60.45,39.55,,,
President,Pennsylvania,19961105,N/A,DAUPHIN,County,"92,971","44,417","Dole, Robert",Challenger,"40,936","Clinton, William Jefferson",Incumbent,Reform,"6,967","Perot, Ross",Challenger,651,"3,481",R,47.78,44.03,7.49,.70,52.04,47.96,,,
President,Pennsylvania,19961105,N/A,DELAWARE,County,"234,748","92,628","Dole, Robert",Challenger,"115,946","Clinton, William Jefferson",Incumbent,Reform,"21,883","Perot, Ross",Challenger,"4,291","23,318",D,39.46,49.39,9.32,1.83,44.41,55.59,,,
President,Pennsylvania,19961105,N/A,ELK,County,"13,013","4,889","Dole, Robert",Challenger,"5,749","Clinton, William Jefferson",Incumbent,Reform,"2,293","Perot, Ross",Challenger,82,860,D,37.57,44.18,17.62,.63,45.96,54.04,,,
President,Pennsylvania,19961105,N/A,ERIE,County,"108,791","39,884","Dole, Robert",Challenger,"57,508","Clinton, William Jefferson",Incumbent,Reform,"10,386","Perot, Ross",Challenger,"1,013","17,624",D,36.66,52.86,9.55,.93,40.95,59.05,,,
President,Pennsylvania,19961105,N/A,FAYETTE,County,"46,532","14,019","Dole, Robert",Challenger,"26,359","Clinton, William Jefferson",Incumbent,Reform,"5,722","Perot, Ross",Challenger,432,"12,340",D,30.13,56.65,12.30,.93,34.72,65.28,,,
President,Pennsylvania,19961105,N/A,FOREST,County,"2,201",902,"Dole, Robert",Challenger,964,"Clinton, William Jefferson",Incumbent,Reform,325,"Perot, Ross",Challenger,10,62,D,40.98,43.80,14.77,.45,48.34,51.66,,,
President,Pennsylvania,19961105,N/A,FRANKLIN,County,"44,730","25,392","Dole, Robert",Challenger,"14,980","Clinton, William Jefferson",Incumbent,Reform,"4,127","Perot, Ross",Challenger,231,"10,412",R,56.77,33.49,9.23,.52,62.90,37.10,,,
President,Pennsylvania,19961105,N/A,FULTON,County,"4,868","2,665","Dole, Robert",Challenger,"1,620","Clinton, William Jefferson",Incumbent,Reform,554,"Perot, Ross",Challenger,29,"1,045",R,54.75,33.28,11.38,.60,62.19,37.81,,,
